Player Name,GP,Player Skill Rating
s0da p0pinski,"13,654,676","3,429"
ItzBerndern,"13,498,828","3,459"
Bobandy,"13,316,734","3,461"
Philadelphia Collins,"13,301,758","3,443"
MINI Mace Dymond,"13,037,540","3,405"
Chapolin Colorado,"12,918,756","3,143"
PaulB086,"12,814,755","3,300"
TheMonkeyBuddha,"12,418,962","3,238"
8,"12,417,546","2,692"
MINIxur’kthan,"12,391,281","3,120"
Skcampy,"12,273,196","2,761"
N7 Tesla,"12,212,701","2,214"
Pflapjack,"12,211,699","2,796"
Salvare,"12,160,783","2,659"
burly kernel,"12,116,073","3,149"
CloneOfPumbaa,"12,110,367","2,953"
rockoffanddie,"12,083,699","3,462"
GrandMoff GOAT,"12,083,585","3,402"
Berk Law,"12,079,958","2,690"
Viirx,"12,049,344","2,639"
Enzo,"12,001,748","3,516"
Yania May,"11,847,377","2,700"
DoritosJesus,"11,655,243","2,596"
Lore Maestro,"11,410,490","3,271"
OhMyPretzel,"11,101,243","3,071"
Seeuker,"11,066,923","3,362"
Gut0182,"11,053,144","2,599"
Digolo Doorjam,"11,043,646","2,366"
Toughnoodles,"10,800,062","2,949"
Steelers77,"10,752,485","2,973"
Wabba Dejabba,"10,734,917","2,464"
cfcmattw,"10,583,414","2,810"
Luiz Yavok,"10,308,042","3,164"
Banshey,"10,281,550","2,721"
Grand Forcequisitor,"10,156,932","2,899"
Stegosaurus Dave,"9,801,583","2,588"
HonkaHonka,"9,269,349","2,965"
Only Bak,"9,224,544","2,231"
Cubanito,"9,143,642","2,894"
Uhrrr ahhrrr aaargh,"8,940,514","1,795"
PantherNP,"8,785,928","2,438"
Saki,"8,765,887","2,887"
Guiragon2,"8,716,172","2,778"
C0UNT D00D00,"7,932,295","2,734"
SuperKlago,"7,597,522","2,339"
Kayid,"7,015,405","2,056"
dadslostcause,"6,343,071","2,228"
